category1,category2,rank,price,Publisher,ISBN10,ISBN13,ASIN,OtherRanks
" Administration & Medicine Economics ",,73,"$15.99 ","PublicAffairs; 1 edition (September 12, 2017)",,," B01N22ZOHC","#33,241 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,74,"$9.70 ","St. Martin's Griffin; Reprint edition (October 30, 2012)"," 1250015766"," 978-1250015761",,"#28,785 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,75,"$27.86 ","Columbia University Press (March 3, 2015)"," 0231173156"," 978-0231173155",,"#29,648 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,76,"$0.00 with Trial ","Brilliance Audio",,," B076KT1FRQ",
" Administration & Medicine Economics ",,77,"$16.61 ","St. Martin's Griffin; Revised edition (November 27, 2007)"," 0312374631"," 978-0312374631",,"#30,290 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,78,"$2.99 ","Brief Publishing (March 5, 2016)",,," B01CMZU258","#34,822 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,79,"$9.99 ","Oxford University Press; 1 edition (December 3, 2015)"," 0190250178"," 978-0190250171",,"#30,950 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,80,"$3.99 ","Alliance Marketing Associates, Inc. (October 6, 2014)",,," B00O9FTX5A","#35,780 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ",,81,"$73.78 ","Optum360; Spi edition (September 22, 2017)"," 1622543963"," 978-1622543960",,"#31,290 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,82,"$10.59 ","Barron's Educational Series; 4 edition (November 1, 2016)"," 1438006942"," 978-1438006949",,"#32,393 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,83,"$0.00 with Trial ","Hachette Audio",,," B075RRTVSG",
" Administration & Medicine Economics ",,84,"$12.72 ","Beacon Press; 1 edition (May 6, 2014)"," 0807033308"," 978-0807033302",,"#33,618 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,85,"$33.60 ","Wiley; 1 edition (November 30, 2010)"," 0470587601"," 978-0470587607",,"#33,777 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,86,"$13.60 ","Riverhead Books; 1 edition (March 1, 1998)"," 1573226572"," 978-1573226578",,"#34,000 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,87,"$10.79 ","Berry Clinic, The; First edition (November 7, 2017)"," 0999090518"," 978-0999090510",,"#34,105 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,88,"$59.95 ","American Academy of Pediatrics; 4 edition (September 26, 2016)"," 1610020502"," 978-1610020503",,"#34,132 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,89,"$0.00 with Trial ","Blackstone Audio, Inc.",,," B06XGJFNQM",
" Administration & Medicine Economics ",,90,"$12.93 ","iUniverse; 11.6.2012 edition (December 6, 2012)"," 193890818X"," 978-1938908187",,"#34,571 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,91,"$65.29 ","Jones & Bartlett Learning; 3 edition (August 21, 2015)"," 1284050548"," 978-1284050547",,"#34,791 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,92,"$9.04 ","Picador; Reprint edition (September 6, 2016)"," 1250105048"," 978-1250105042",,"#35,606 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,93,"$20.53 ",,,,,
" Administration & Medicine Economics ",,94,"$7.49 ","Accidental Safari; First edition (November 8, 2017)"," 0999581902"," 978-0999581902",,"#36,055 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,95,"$0.00 with Trial ","Tantor Audio",,," B075Y11HDT",
" Administration & Medicine Economics ",,96,"$0.00 with Trial ","Simon & Schuster Audio / TED",,," B015RKDBKI",
" Administration & Medicine Economics ",,97,"$10.87 ","Bloomsbury USA; Reprint edition (January 5, 2016)"," 1620408554"," 978-1620408551",,"#36,614 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,98,"$73.78 ","Optum360; Spi edition (September 29, 2017)"," 162254398X"," 978-1622543984",,"#37,176 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,99,"$32.18 ","University of California Press; 1 edition (September 7, 2013)"," 0520271998"," 978-0520271999",,"#37,294 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ",,100,"$12.99 ","Patient Revolution, The (October 5, 2017)"," 0999394819"," 978-0999394816",,"#37,492 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",1,"$10.60 ","Picador; Reprint edition (January 4, 2011)"," 0312430000"," 978-0312430009",,"#1,358 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",2,"$112.49 ","Jones & Bartlett Learning; 4 edition (August 21, 2013)"," 1284029867"," 978-1284029864",,"#43,691 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",3,"$74.30 ","Jones & Bartlett Learning; 4 edition (December 8, 2015)"," 1284100553"," 978-1284100556",,"#46,340 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",4,"$19.88 ","McGraw-Hill Education; 1 edition (2009)"," 0071592083"," 978-0071592086",,"#49,687 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",5,"$67.60 ","Jones & Bartlett Learning; 5 edition (February 23, 2017)"," 1284118215"," 978-1284118216",,"#50,722 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",6,"$6.98 ","Second River Healthcare; 1 edition (January 15, 2008)"," 0974386065"," 978-0974386065",,"#52,375 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",7,"$46.71 ","F.A. Davis Company; 2 edition (February 19, 2016)"," 0803643659"," 978-0803643659",,"#62,304 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",8,"$74.99 ","Health Administration Press; 7th edition (July 1, 2010)"," 1567933572"," 978-1567933574",,"#64,552 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",9,"$82.58 ","Health Administration Press; Third edition (September 12, 2014)"," 1567936768"," 978-1567936766",,"#65,191 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",10,"$85.00 ","Health Administration Press; Third edition (February 15, 2012)"," 156793434X"," 978-1567934342",,"#66,639 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",11,"$63.99 ","Jones & Bartlett Learning; 4 edition (August 29, 2016)"," 1284094316"," 978-1284094312",,"#69,343 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",12,"$75.99 ","Jones & Bartlett Learning; 4 edition (September 15, 2011)"," 0763781541"," 978-0763781545",,"#70,307 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",13,"$128.00 ","Health Administration Press; Fifth edition (December 30, 2011)"," 1567934250"," 978-1567934250",,"#72,111 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",14,"$74.46 ","Jones & Bartlett Learning; 3 edition (May 4, 2015)"," 1284051048"," 978-1284051049",,"#75,672 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",15,"$22.03 ","McGraw-Hill Education; 1 edition (October 27, 2017)"," 1260116557"," 978-1260116557",,"#75,936 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",16,"$61.99 ","Jones & Bartlett Learning; 2 edition (November 23, 2016)"," 1284112004"," 978-1284112009",,"#77,581 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",17,"$14.95 ","McGraw-Hill Education; 1 edition (October 21, 2016)"," 1259860868"," 978-1259860867",,"#81,053 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",18,"$74.99 ","Jones & Bartlett Learning; 4 edition (July 20, 2012)"," 0763789283"," 978-0763789282",,"#82,573 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",19,"$13.64 ","Bloomsbury USA; 1 edition (September 9, 2008)"," 1582345791"," 978-1582345796",,"#83,679 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",20,"$52.00 ","McGraw-Hill; 2nd edition (November 5, 2013)"," 0071791000"," 978-0071791007",,"#86,069 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",21,"$21.33 ","Knopf; 1 edition (January 8, 2013)"," 0307961540"," 978-0307961549",,"#89,936 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",22,"$75.80 ","National Academies Press; 1 edition (August 19, 2001)"," 0309072808"," 978-0309072809",,"#90,600 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",23,"$5.99 ","Vintage; 1 edition (January 8, 2013)",,," B00957T4QK","#88,997 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ","Health Care Administration",24,"$131.98 ","Health Administration Press; 7 edition (March 31, 2015)"," 1567937063"," 978-1567937060",,"#91,086 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",25,"$11.23 ","Ballantine Books; Revised edition (November 11, 1997)"," 0449002829"," 978-0449002827",,"#93,726 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",26,"$0.00 with Trial ","McGraw-Hill Education",,," B0779HD2KD",
" Administration & Medicine Economics ","Health Care Administration",27,"$12.94 ","National Academies Press; 1 edition (April 15, 2000)"," 0309068371"," 978-0309068376",,"#100,522 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",28,"$85.36 ","Springer Publishing Company; 7 edition (November 4, 2015)"," 0826128548"," 978-0826128546",,"#101,762 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",29,"$90.16 ","Jones & Bartlett Learning; 2 edition (August 28, 2015)"," 1284050882"," 978-1284050882",,"#101,786 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",30,"$0.99 ",,,," B072KJTY32","#99,498 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ","Health Care Administration",31,"$85.00 ","Delmar Cengage Learning; 7 edition (June 6, 2011)"," 1111313261"," 978-1111313265",,"#104,870 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",32,"$35.00 ","Joint Commission Resources; 2nd edition (January 16, 2012)"," 1599405695"," 978-1599405698",,"#107,071 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",33,"$11.60 ","Bloomsbury Press; 1 edition (September 18, 2012)"," 1608198367"," 978-1608198368",,"#108,078 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",34,"$53.89 ","Jossey-Bass; 7 edition (March 18, 2013)"," 1118466462"," 978-1118466469",,"#111,360 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",35,"$48.36 ","Springer; 1st ed. 2015 edition (October 9, 2015)"," 3319212591"," 978-3319212593",,"#112,847 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",36,"$24.33 ","Productivity Press; 1 edition (December 15, 2011)"," 1439859930"," 978-1439859933",,"#116,007 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",37,"$150.93 ","Jones & Bartlett Learning; 3 edition (July 26, 2013)"," 1449688330"," 978-1449688332",,"#116,345 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",38,"$43.02 ","Delmar Cengage Learning; 7th edition (September 21, 2007)"," 1418012890"," 978-1418012892",,"#118,686 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",39,"$83.81 ","Health Administration Press; 2 edition (June 30, 2009)"," 1567933149"," 978-1567933147",,"#120,772 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",40,"$47.40 ","McGraw-Hill Education / Medical; 1 edition (April 3, 2015)"," 0071816984"," 978-0071816984",,"#124,661 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",41,"$2.49 ","Praeger; 1 edition (November 19, 1993)"," 0865692319"," 978-0865692312",,"#125,400 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",42,"$77.22 ","Jones & Bartlett Learning; 3 edition (September 24, 2010)"," 0763783331"," 978-0763783334",,"#135,474 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",43,"$143.31 ","Health Professions Press; 6e edition (May 21, 2014)"," 193887000X"," 978-1938870002",,"#136,168 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",44,"$91.58 ","Jossey-Bass; 4 edition (January 13, 2014)"," 111846656X"," 978-1118466568",,"#139,139 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",45,"$15.95 ","CreateSpace Independent Publishing Platform (September 10, 2016)"," 1537441183"," 978-1537441184",,"#141,621 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",46,"$5.98 ","Jossey-Bass; 1 edition (April 16, 2004)"," 0787972452"," 978-0787972455",,"#144,926 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",47,"$52.95 ","Productivity Press; 1 edition (August 28, 2009)"," 1420078526"," 978-1420078527",,"#148,137 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",48,"$159.95 ","Jones & Bartlett Learning; 7 edition (July 22, 2010)"," 0763784583"," 978-0763784584",,"#148,597 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",49,"$43.91 ","CRC Press; 1 edition (April 2, 1989)"," 0849342708"," 978-0849342707",,"#150,523 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",50,"$77.33 ","Jones & Bartlett Learning; 3 edition (July 23, 2012)"," 1449683851"," 978-1449683856",,"#160,435 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",51,"$74.34 ","Jones & Bartlett Learning; 2 edition (April 3, 2017)"," 1284081109"," 978-1284081107",,"#162,362 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",52,"$47.96 ","Springer Publishing Company; 8 edition (June 27, 2016)"," 0826131743"," 978-0826131744",,"#164,282 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",53,"$99.00 ","Health Administration Press; 2 edition (July 23, 2013)"," 1567935931"," 978-1567935936",,"#164,523 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",54,"$104.92 ","Health Administration Press; 3 edition (March 20, 2017)"," 1567938515"," 978-1567938517",,"#165,783 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",55,"$139.33 ","Jones & Bartlett Learning; 6 edition (April 20, 2012)"," 1449653316"," 978-1449653316",,"#177,105 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",56,"$73.93 ","Delmar Cengage Learning; 2 edition (November 5, 2007)"," 1428352295"," 978-1428352292",,"#180,820 in Books (See Top 100 in Books)"
" Administration & Medicine Economics ","Health Care Administration",57,"$39.46 ","Productivity Press; 1 edition (October 6, 2017)",,," B0767JG6X3","#158,812 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Administration & Medicine Economics ","Health Care Administration",58,"$17.32 ","McGraw-Hill Education; 1 edition (June 9, 2008)"," 0071590730"," 978-0071590730",,"#189,945 in Books (See Top 100 in Books)"
